game,turns,winner,winner_hp
562,33,balancer,4
563,32,balancer,99
564,29,evolver,135
565,37,tempo,36
566,27,rare_hunter,142
567,33,balancer,84
568,33,tempo,72
569,30,evolver,40
570,31,tempo,124
571,35,evolver,6
572,37,rare_hunter,4
573,32,warrior,21
574,33,random,14
575,36,rare_hunter,21
576,34,tempo,31
577,30,warrior,77
578,35,warrior,22
579,33,rare_hunter,28
580,32,rare_hunter,35
581,33,tempo,26
582,29,warrior,117
583,32,rare_hunter,110
584,30,rare_hunter,117
585,33,evolver,9
586,31,economist,15
587,32,rare_hunter,65
588,30,tempo,131
589,34,economist,5
590,30,balancer,127
591,34,rare_hunter,1
592,36,rare_hunter,26
593,36,warrior,21
594,36,evolver,29
595,34,balancer,12
596,34,rare_hunter,13
597,34,tempo,49
598,36,warrior,52
599,31,warrior,41
600,35,balancer,2
601,33,tempo,10
602,27,rare_hunter,137
603,29,rare_hunter,127
604,30,evolver,84
605,34,random,3
606,33,rare_hunter,36
607,34,tempo,41
608,32,rare_hunter,51
609,36,warrior,41
610,33,evolver,2
611,31,tempo,100
612,27,tempo,141
613,33,warrior,68
614,37,economist,8
615,33,warrior,1
616,33,rare_hunter,1
617,33,evolver,71
618,29,warrior,72
619,33,tempo,68
620,31,economist,61
621,33,economist,25
622,34,tempo,41
623,39,tempo,7
624,36,economist,9
625,28,tempo,116
626,30,balancer,90
627,33,warrior,6
628,32,rare_hunter,71
629,36,rare_hunter,39
630,34,rare_hunter,36
631,29,rare_hunter,66
632,35,economist,15
633,31,balancer,37
634,31,warrior,141
635,33,economist,86
636,32,warrior,40
637,36,warrior,65
638,37,economist,14
639,38,balancer,3
640,32,economist,18
641,33,balancer,69
642,36,economist,23
643,36,balancer,3
644,31,economist,64
645,30,tempo,132
646,37,random,1
647,32,rare_hunter,40
648,29,tempo,140
649,33,economist,16
650,35,balancer,3
651,33,economist,48
652,31,warrior,79
653,27,warrior,137
654,36,random,30
655,35,economist,56
656,29,balancer,93
657,37,tempo,4
658,30,economist,54
659,29,balancer,116
660,32,warrior,70
661,33,evolver,51
662,35,rare_hunter,2
663,32,warrior,85
664,35,warrior,9
665,28,rare_hunter,137
666,38,warrior,5
667,30,economist,59
668,31,evolver,15
669,28,tempo,129
670,32,rare_hunter,119
671,35,builder,7
672,31,evolver,116
673,33,evolver,58
674,34,builder,3
675,34,evolver,24
676,34,tempo,37
677,36,balancer,12
678,37,economist,12
679,32,rare_hunter,12
680,32,tempo,26
681,30,tempo,105
682,31,tempo,83
683,31,economist,59
684,34,economist,20
685,30,tempo,114
686,27,rare_hunter,136
687,35,warrior,54
688,31,evolver,89
689,37,rare_hunter,46
690,38,warrior,5
691,30,tempo,126
692,30,evolver,63
693,30,tempo,117
694,33,balancer,3
695,30,tempo,49
696,31,tempo,38
697,26,rare_hunter,147
698,36,warrior,33
699,31,economist,67
700,33,random,37
701,27,rare_hunter,133
702,35,warrior,1
703,36,evolver,8
704,35,warrior,24
705,33,warrior,66
706,34,tempo,1
707,32,evolver,47
708,35,warrior,41
709,31,tempo,90
710,34,tempo,3
711,36,rare_hunter,4
712,34,balancer,38
713,29,evolver,109
714,34,balancer,85
715,31,rare_hunter,24
716,35,economist,25
717,34,balancer,24
718,29,balancer,106
719,37,balancer,2
720,29,evolver,99
721,34,warrior,18
722,36,tempo,23
723,34,tempo,28
724,31,economist,17
725,33,rare_hunter,40
726,30,rare_hunter,98
727,34,warrior,65
728,35,tempo,18
729,30,rare_hunter,71
730,32,tempo,112
731,30,rare_hunter,127
732,38,economist,14
733,37,balancer,2
734,37,random,1
735,37,rare_hunter,12
736,30,tempo,80
737,30,balancer,79
738,33,rare_hunter,40
739,36,balancer,5
740,33,warrior,42
741,32,evolver,41
742,32,economist,79
743,29,rare_hunter,109
744,34,economist,27
745,33,evolver,60
746,29,warrior,120
747,30,rare_hunter,81
748,33,warrior,70
749,35,warrior,1
750,30,rare_hunter,124
751,32,warrior,16
752,32,warrior,47
753,26,rare_hunter,150
754,30,random,134
755,31,evolver,86
756,31,tempo,107
757,33,economist,6
758,30,warrior,98
759,33,balancer,36
760,34,balancer,5
761,35,economist,11
762,33,economist,34
763,31,warrior,68
764,37,rare_hunter,29
765,32,tempo,61
766,28,tempo,85
767,26,warrior,117
768,31,economist,60
769,34,balancer,8
770,29,warrior,112
771,35,balancer,19
772,32,warrior,84
773,35,tempo,32
774,30,economist,63
775,31,balancer,93
776,33,rare_hunter,43
777,32,rare_hunter,48
778,32,balancer,39
779,28,tempo,135
780,37,evolver,14
781,34,evolver,7
782,33,balancer,16
783,38,balancer,17
784,30,balancer,124
785,32,balancer,75
786,31,tempo,57
787,29,economist,85
788,36,balancer,19
789,34,tempo,12
790,35,warrior,38
791,37,economist,4
792,33,tempo,52
793,33,evolver,47
794,33,rare_hunter,61
795,35,warrior,54
796,31,warrior,98
797,34,rare_hunter,5
798,30,tempo,81
799,33,economist,4
800,32,balancer,82
801,33,economist,26
802,36,rare_hunter,5
803,33,economist,22
804,33,builder,8
805,30,random,95
806,34,economist,3
807,35,tempo,8
808,34,tempo,24
809,34,balancer,87
810,31,economist,87
811,32,warrior,74
812,33,economist,26
813,31,tempo,29
814,33,warrior,91
815,34,tempo,33
816,32,warrior,80
817,34,warrior,16
818,34,balancer,5
819,39,evolver,9
820,31,economist,43
821,34,rare_hunter,31
822,32,economist,83
823,27,economist,69
824,35,tempo,20
825,34,tempo,25
826,32,tempo,50
827,29,tempo,74
828,34,economist,15
829,37,tempo,5
830,32,economist,10
831,30,balancer,99
832,38,evolver,12
833,35,tempo,1
834,38,warrior,5
835,33,tempo,47
836,33,economist,28
837,35,tempo,6
838,30,balancer,100
839,36,rare_hunter,16
840,30,warrior,117
841,29,tempo,105
842,41,random,5
843,34,warrior,17
844,34,warrior,80
845,31,tempo,26
846,36,balancer,7
847,34,balancer,57
848,34,evolver,39
849,33,economist,53
850,36,tempo,2
851,36,random,14
852,32,balancer,30
853,30,warrior,113
854,38,tempo,5
855,34,rare_hunter,25
856,28,balancer,59
857,31,tempo,95
858,26,balancer,139
859,31,warrior,119
860,31,economist,79
861,33,balancer,5
862,34,rare_hunter,1
863,30,tempo,111
864,30,warrior,105
865,29,balancer,125
866,35,economist,25
867,36,economist,5
868,32,rare_hunter,75
869,33,rare_hunter,6
870,31,evolver,80
871,35,economist,18
872,31,rare_hunter,22
873,30,balancer,129
874,33,rare_hunter,21
875,28,balancer,106
876,34,tempo,10
877,33,tempo,1
878,33,warrior,13
879,28,economist,70
880,29,economist,18
881,35,economist,33
882,34,economist,15
883,32,balancer,67
884,34,economist,4
885,33,rare_hunter,44
886,36,evolver,3
887,33,economist,64
888,29,warrior,115
889,31,rare_hunter,85
890,29,balancer,85
891,34,economist,4
892,30,warrior,64
893,25,tempo,150
894,37,rare_hunter,7
895,32,balancer,41
896,29,tempo,90
897,35,tempo,44
898,25,warrior,132
899,36,economist,20
900,33,warrior,30
901,34,evolver,13
902,36,evolver,33
903,29,economist,120
904,33,warrior,58
905,33,evolver,35
906,37,rare_hunter,4
907,30,balancer,97
908,32,rare_hunter,34
909,32,balancer,32
910,31,rare_hunter,79
911,31,economist,101
912,32,economist,7
913,28,warrior,100
914,33,tempo,9
915,31,rare_hunter,99
916,33,warrior,33
917,38,balancer,8
918,36,balancer,7
919,34,warrior,12
920,31,warrior,140
921,32,random,53
922,31,balancer,122
923,31,warrior,108
924,34,economist,8
925,34,evolver,52
926,31,tempo,64
927,35,warrior,19
928,35,economist,56
929,36,economist,1
930,32,balancer,28
931,32,tempo,81
932,32,rare_hunter,31
933,35,rare_hunter,30
934,26,tempo,108
935,35,tempo,99
936,32,evolver,40
937,36,rare_hunter,12
938,33,tempo,44
939,34,economist,7
940,29,warrior,134
941,31,evolver,47
942,26,tempo,134
943,36,warrior,50
944,32,warrior,47
945,27,rare_hunter,143
946,34,tempo,23
947,33,warrior,34
948,35,balancer,21
949,28,warrior,131
950,32,builder,11
951,36,balancer,38
952,35,rare_hunter,2
953,30,economist,64
954,37,random,19
955,25,tempo,150
956,32,warrior,42
957,33,economist,47
958,36,tempo,4
959,31,warrior,64
960,33,evolver,52
961,34,balancer,28
962,33,warrior,53
963,30,rare_hunter,97
964,36,rare_hunter,11
965,34,warrior,5
966,36,rare_hunter,25
967,37,evolver,10
968,35,tempo,16
969,33,rare_hunter,79
970,33,economist,82
971,29,balancer,105
972,31,rare_hunter,64
973,32,rare_hunter,38
974,31,tempo,37
975,34,warrior,3
976,33,balancer,16
977,34,evolver,29
978,34,warrior,7
979,36,random,8
980,28,rare_hunter,111
981,32,evolver,73
982,31,evolver,53
983,38,rare_hunter,29
984,33,warrior,25
985,31,warrior,85
986,28,rare_hunter,110
987,32,balancer,103
988,32,tempo,40
989,28,balancer,135
990,30,tempo,51
991,36,balancer,3
992,33,economist,22
993,32,economist,53
994,41,balancer,11
995,28,balancer,109
996,33,rare_hunter,71
997,34,tempo,6
998,35,random,43
999,34,evolver,93
1000,34,warrior,41
